settlement-id,transaction-type,order-id,posted-date,sku,quantity,product-sales,shipping-credits,promotional-rebates,selling-fees,fba-fees,other-transaction-fees,other,total
2026-STL-0401,Order,114-1000001-2719583,2026-04-01,PF-WHEY-CHOC,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0401,Order,114-1000002-8078673,2026-04-01,PF-WHEY-CHOC,2,89.98,0.00,-0.00,-13.50,-12.20,0.00,0.00,64.28
2026-STL-0401,Order,114-1000327-6625238,2026-04-01,PF-WHEY-VAN,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0401,Order,114-1000328-8926478,2026-04-01,PF-WHEY-VAN,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0401,Order,114-1000329-8526283,2026-04-01,PF-WHEY-VAN,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0401,Order,114-1000538-7324856,2026-04-01,PF-PREWKT-BERRY,1,32.99,0.00,-0.00,-4.95,-4.35,0.00,0.00,23.69
2026-STL-0401,Order,114-1000714-3017994,2026-04-01,PF-CREATINE-300,1,24.99,0.00,-0.00,-3.75,-4.05,0.00,0.00,17.19
2026-STL-0401,Order,114-1001164-7944979,2026-04-01,PF-SHAKER-28,1,12.99,0.00,-0.00,-1.95,-3.45,0.00,0.00,7.59
2026-STL-0401,Order,114-1001165-6293259,2026-04-01,PF-SHAKER-28,1,12.99,0.00,-0.00,-1.95,-3.45,0.00,0.00,7.59
2026-STL-0401,Order,114-1001166-6565326,2026-04-01,PF-SHAKER-28,1,12.99,0.00,-0.00,-1.95,-3.45,0.00,0.00,7.59
2026-STL-0401,Order,114-1001372-9776515,2026-04-01,PF-ELECTRO-CIT,1,21.99,0.00,-2.20,-2.97,-3.95,0.00,0.00,12.87
2026-STL-0401,Order,114-1001471-7853897,2026-04-01,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0401,Order,114-1001472-4950793,2026-04-01,GT-SERUM-VITC,1,28.99,0.00,-5.80,-3.48,-3.55,0.00,0.00,16.16
2026-STL-0401,Order,114-1001473-8686718,2026-04-01,GT-SERUM-VITC,2,57.98,0.00,-0.00,-8.70,-7.10,0.00,0.00,42.18
2026-STL-0401,Order,114-1001474-7669861,2026-04-01,GT-SERUM-VITC,1,28.99,0.00,-2.90,-3.91,-3.55,0.00,0.00,18.63
2026-STL-0401,Order,114-1001886-4101936,2026-04-01,GT-SERUM-HA,1,24.99,0.00,-0.00,-3.75,-3.55,0.00,0.00,17.69
2026-STL-0401,Order,114-1002209-3459253,2026-04-01,GT-MOIST-50ML,1,22.99,0.00,-0.00,-3.45,-3.60,0.00,0.00,15.94
2026-STL-0401,Order,114-1002210-6631731,2026-04-01,GT-MOIST-50ML,1,22.99,0.00,-2.30,-3.10,-3.60,0.00,0.00,13.99
2026-STL-0401,Order,114-1002211-5317440,2026-04-01,GT-MOIST-50ML,1,22.99,0.00,-4.60,-2.76,-3.60,0.00,0.00,12.03
2026-STL-0401,Order,114-1002416-3707912,2026-04-01,GT-CLEANSE-150,1,16.99,0.00,-0.00,-2.55,-3.70,0.00,0.00,10.74
2026-STL-0401,Order,114-1002572-2526163,2026-04-01,GT-MASK-CLAY,1,14.99,0.00,-0.00,-2.25,-3.85,0.00,0.00,8.89
2026-STL-0401,Order,114-1002816-9354503,2026-04-01,GT-SPF30-TINT,2,47.98,0.00,-9.60,-5.76,-7.20,0.00,0.00,25.42
2026-STL-0401,Order,114-1002817-9033263,2026-04-01,GT-SPF30-TINT,1,23.99,0.00,-0.00,-3.60,-3.60,0.00,0.00,16.79
2026-STL-0401,Order,114-1002818-4095032,2026-04-01,GT-SPF30-TINT,1,23.99,0.00,-2.40,-3.24,-3.60,0.00,0.00,14.75
2026-STL-0401,Order,114-1003085-2329684,2026-04-01,PH-CHEW-BULLY-6,1,29.99,0.00,-0.00,-4.50,-4.60,0.00,0.00,20.89
2026-STL-0401,Order,114-1003086-3376224,2026-04-01,PH-CHEW-BULLY-6,1,29.99,0.00,-0.00,-4.50,-4.60,0.00,0.00,20.89
2026-STL-0401,Order,114-1003339-5225340,2026-04-01,PH-TREAT-SALMON,1,18.99,0.00,-3.80,-2.28,-3.90,0.00,0.00,9.01
2026-STL-0401,Order,114-1003340-5892660,2026-04-01,PH-TREAT-SALMON,2,37.98,0.00,-3.80,-5.13,-7.80,0.00,0.00,21.25
2026-STL-0401,Order,114-1003341-7269057,2026-04-01,PH-TREAT-SALMON,1,18.99,0.00,-0.00,-2.85,-3.90,0.00,0.00,12.24
2026-STL-0401,Order,114-1003659-9526474,2026-04-01,PH-SHAMPOO-OAT,1,15.99,0.00,-3.20,-1.92,-3.95,0.00,0.00,6.92
2026-STL-0401,Order,114-1003809-5434785,2026-04-01,PH-TOY-ROPE-L,2,27.98,0.00,-2.80,-3.78,-7.50,0.00,0.00,13.90
2026-STL-0401,Order,114-1003810-2765563,2026-04-01,PH-TOY-ROPE-L,1,13.99,0.00,-1.40,-1.89,-3.75,0.00,0.00,6.95
2026-STL-0401,Order,114-1003985-6187326,2026-04-01,PH-BED-MED-GRY,1,42.99,0.00,-0.00,-6.45,-12.40,0.00,0.00,24.14
2026-STL-0401,Order,114-1003986-4269335,2026-04-01,PH-BED-MED-GRY,1,42.99,0.00,-4.30,-5.80,-12.40,0.00,0.00,20.49
2026-STL-0401,Order,114-1004094-4637045,2026-04-01,PH-BRUSH-DBL,1,12.99,0.00,-0.00,-1.95,-3.45,0.00,0.00,7.59
2026-STL-0401,Order,114-1004220-2372974,2026-04-01,PH-DENTAL-30CT,1,21.99,0.00,-0.00,-3.30,-4.10,0.00,0.00,14.59
2026-STL-0401,Order,114-1004221-4660140,2026-04-01,PH-DENTAL-30CT,1,21.99,0.00,-0.00,-3.30,-4.10,0.00,0.00,14.59
2026-STL-0402,Order,114-1000003-1445199,2026-04-02,PF-WHEY-CHOC,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0402,Order,114-1000004-8038374,2026-04-02,PF-WHEY-CHOC,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0402,Order,114-1000330-9854536,2026-04-02,PF-WHEY-VAN,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0402,Order,114-1000331-3044276,2026-04-02,PF-WHEY-VAN,1,44.99,0.00,-0.00,-6.75,-6.10,0.00,0.00,32.14
2026-STL-0402,Order,114-1000539-7724393,2026-04-02,PF-PREWKT-BERRY,3,98.97,0.00,-0.00,-14.85,-13.05,0.00,0.00,71.07
2026-STL-0402,Order,114-1000540-8017921,2026-04-02,PF-PREWKT-BERRY,2,65.98,0.00,-6.60,-8.91,-8.70,0.00,0.00,41.77
2026-STL-0402,Order,114-1000715-4233407,2026-04-02,PF-CREATINE-300,1,24.99,0.00,-0.00,-3.75,-4.05,0.00,0.00,17.19
2026-STL-0402,Order,114-1001167-1522998,2026-04-02,PF-SHAKER-28,3,38.97,0.00,-0.00,-5.85,-10.35,0.00,0.00,22.77
2026-STL-0402,Order,114-1001168-3784505,2026-04-02,PF-SHAKER-28,1,12.99,0.00,-0.00,-1.95,-3.45,0.00,0.00,7.59
2026-STL-0402,Order,114-1001475-5298752,2026-04-02,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0402,Order,114-1001476-4939985,2026-04-02,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0402,Order,114-1001477-1763562,2026-04-02,GT-SERUM-VITC,1,28.99,0.00,-0.00,-4.35,-3.55,0.00,0.00,21.09
2026-STL-0402,Order,114-1001887-9893395,2026-04-02,GT-SERUM-HA,1,24.99,0.00,-0.00,-3.75,-3.55,0.00,0.00,17.69
2026-STL-0402,Order,114-1001888-3081873,2026-04-02,GT-SERUM-HA,1,24.99,0.00,-0.00,-3.75,-3.55,0.00,0.00,17.69
2026-STL-0402,Order,114-1002212-6916088,2026-04-02,GT-MOIST-50ML,1,22.99,0.00,-0.00,-3.45,-3.60,0.00,0.00,15.94
2026-STL-0402,Order,114-1002417-1605237,2026-04-02,GT-CLEANSE-150,1,16.99,0.00,-1.70,-2.29,-3.70,0.00,0.00,9.30
2026-STL-0402,Order,114-1002573-7532030,2026-04-02,GT-MASK-CLAY,1,14.99,0.00,-0.00,-2.25,-3.85,0.00,0.00,8.89
2026-STL-0402,Order,114-1002707-9906521,2026-04-02,GT-EYE-CREAM,1,26.99,0.00,-2.70,-3.64,-3.50,0.00,0.00,17.15
2026-STL-0402,Order,114-1002819-8314004,2026-04-02,GT-SPF30-TINT,1,23.99,0.00,-0.00,-3.60,-3.60,0.00,0.00,16.79
2026-STL-0402,Order,114-1002820-1688736,2026-04-02,GT-SPF30-TINT,1,23.99,0.00,-0.00,-3.60,-3.60,0.00,0.00,16.79
2026-STL-0402,Order,114-1003001-2211426,2026-04-02,GT-ROLLER-JADE,1,13.99,0.00,-0.00,-2.10,-3.40,0.00,0.00,8.49
2026-STL-0402,Order,114-1003002-6081107,2026-04-02,GT-ROLLER-JADE,1,13.99,0.00,-0.00,-2.10,-3.40,0.00,0.00,8.49
2026-STL-0402,Order,114-1003087-4843470,2026-04-02,PH-CHEW-BULLY-6,1,29.99,0.00,-3.00,-4.05,-4.60,0.00,0.00,18.34
2026-STL-0402,Order,114-1003088-2548050,2026-04-02,PH-CHEW-BULLY-6,1,29.99,0.00,-0.00,-4.50,-4.60,0.00,0.00,20.89
