snapshot-date,sku,asin,fulfillable,reserved,unfulfillable,inbound
2026-06-30,PF-WHEY-CHOC,B0PF4W2CHC,205,34,1,0
2026-06-30,PF-WHEY-VAN,B0PF4W2VAN,1174,34,0,0
2026-06-30,PF-PREWKT-BERRY,B0PFPREBRY,936,56,5,0
2026-06-30,PF-CREATINE-300,B0PFCRE300,1134,39,12,1000
2026-06-30,PF-BCAA-LEMON,B0PFBCALEM,620,35,12,1000
2026-06-30,PF-SHAKER-28,B0PFSHK28Z,275,18,11,0
2026-06-30,PF-VEGAN-CHOC,B0PFVGNCHC,801,24,7,0
2026-06-30,PF-ELECTRO-CITRUS,B0PFELECIT,692,6,2,500
2026-06-30,GT-SERUM-VITC,B0GTSRMVTC,299,58,4,0
2026-06-30,GT-SERUM-HA,B0GTSRMHYA,814,50,8,300
2026-06-30,GT-MOIST-50ML,B0GTMST50M,520,29,10,0
2026-06-30,GT-CLEANSE-150,B0GTCLN150,1302,16,2,0
2026-06-30,GT-MASK-CLAY,B0GTMSKCLY,957,48,73,500
2026-06-30,GT-EYE-CREAM,B0GTEYECRM,452,33,6,0
2026-06-30,GT-SPF30-TINT,B0GTSPF30T,1207,58,8,0
2026-06-30,GT-ROLLER-JADE,B0GTRLRJDE,1068,31,0,300
2026-06-30,PH-CHEW-BULLY-6,B0PHBLY6PK,428,5,4,300
2026-06-30,PH-TREAT-SALMON,B0PHTRTSLM,922,48,10,0
2026-06-30,PH-SHAMPOO-OAT,B0PHSHMOAT,1129,9,2,1000
2026-06-30,PH-TOY-ROPE-L,B0PHROPELG,842,18,3,1000
2026-06-30,PH-BED-MED-GRY,B0PHBEDMGR,605,35,8,300
2026-06-30,PH-BRUSH-DBL,B0PHBRSHDB,433,27,11,500
2026-06-30,PH-DENTAL-30CT,B0PHDNT30C,596,38,2,300
2026-06-30,GT-LIP-BALM,B0GTLIPBLM,1182,58,11,300
