brand,canonical_sku,product_name,net_sales,reported_contribution_margin,reported_contribution_margin_pct,net_sales_allocation_share,allocated_advertising,allocated_fba_storage,allocated_subscription,run_rate_threshold_result,run_rate_threshold_margin_pct,allocation_method,is_estimated
GlowTheory,GT-SERUM-VITC,GlowTheory Vitamin C Serum 30ml,13723.74000000,7521.26200000,0.54804754,0.10369911,5244.69849494,634.56076238,12.44078190,1629.56196078,0.11874037,net_sales_share,True
GlowTheory,GT-SERUM-HA,GlowTheory Hyaluronic Acid Serum 30ml,9183.74000000,4853.38200000,0.52847554,0.06939403,3509.68084181,424.63942452,8.32520191,910.73653177,0.09916837,net_sales_share,True
GlowTheory,GT-MOIST-50ML,GlowTheory Daily Moisturizer 50ml,5386.48000000,2419.96800000,0.44926705,0.04070124,2058.51054807,249.06103258,4.88292717,107.51349217,0.01995988,net_sales_share,True
GlowTheory,GT-SPF30-TINT,GlowTheory Tinted SPF 30 Sunscreen 50ml,4980.27000000,2063.15800000,0.41426629,0.03763184,1903.27232762,230.27862143,4.51469154,-74.90764059,-0.01504088,net_sales_share,True
GlowTheory,GT-EYE-CREAM,GlowTheory Restorative Eye Cream 15ml,3160.49000000,1620.41200000,0.51270911,0.02388124,1207.82069219,146.13530596,2.86503291,263.59096893,0.08340193,net_sales_share,True
GlowTheory,GT-CLEANSE-150,GlowTheory Gentle Foaming Cleanser 150ml,2788.02000000,1046.19400000,0.37524623,0.02106679,1065.47663377,128.91297101,2.52738312,-150.72298789,-0.05406094,net_sales_share,True
GlowTheory,GT-ROLLER-JADE,GlowTheory Jade Facial Roller,1344.42000000,522.28200000,0.38848128,0.01015869,513.78687957,62.16353415,1.21873746,-54.88715117,-0.04082590,net_sales_share,True
GlowTheory,GT-MASK-CLAY,GlowTheory Detox Clay Mask 100g,2080.58000000,495.71400000,0.23825760,0.01572125,795.11960986,96.20223284,1.88607785,-397.49392055,-0.19104957,net_sales_share,True
GlowTheory,GT-LIP-BALM,GlowTheory Repair Lip Balm SPF 15,224.77000000,5.84700000,0.02601326,0.00169840,85.89866033,10.39295575,0.20375747,-90.64837355,-0.40329392,net_sales_share,True
PawHaus,PH-CHEW-BULLY-6,PawHaus Bully Stick Chews 6in 8pk,8601.07000000,2567.15400000,0.29846914,0.06499127,3287.00623036,397.69782409,7.79700257,-1125.34705703,-0.13083803,net_sales_share,True
PawHaus,PH-TREAT-SALMON,PawHaus Salmon Training Treats 16oz,7261.67000000,2171.99600000,0.29910420,0.05487052,2775.13780644,335.76640561,6.58281582,-945.49102787,-0.13020297,net_sales_share,True
PawHaus,PH-DENTAL-30CT,PawHaus Dental Chews 30ct,5603.00000000,1783.99377104,0.31839974,0.04233730,2141.25636796,259.07252335,5.07920589,-621.41432615,-0.11090743,net_sales_share,True
PawHaus,PH-SHAMPOO-OAT,PawHaus Oatmeal Dog Shampoo 16oz,2930.92000000,1033.24800000,0.35253368,0.02214657,1120.08765197,135.52040695,2.65692417,-225.01698308,-0.07677350,net_sales_share,True
PawHaus,PH-BRUSH-DBL,PawHaus Double-Sided Grooming Brush,1823.77000000,642.97600000,0.35255323,0.01378074,696.97646371,84.32780580,1.65327562,-139.98154514,-0.07675395,net_sales_share,True
PawHaus,PH-BED-MED-GRY,PawHaus Orthopedic Dog Bed Medium Grey,4776.16000000,291.43600000,0.06101889,0.03608954,1825.26914410,220.84094648,4.32966268,-1759.00375325,-0.36828828,net_sales_share,True
PawHaus,PH-TOY-ROPE-L,PawHaus Braided Rope Toy Large,2816.13000000,176.55350842,0.06269366,0.02127920,1076.21922104,130.21272625,2.55286526,-1032.43130414,-0.36661351,net_sales_share,True
Peak Fuel,PF-WHEY-CHOC,Peak Fuel Whey Protein Chocolate 2lb,17370.55000000,6603.70800000,0.38016689,0.13125508,6638.37244376,803.18262011,15.74667140,-853.59373526,-0.04914028,net_sales_share,True
Peak Fuel,PF-CREATINE-300,Peak Fuel Creatine Monohydrate 300g,10058.39000000,4516.69200000,0.44904721,0.07600305,3843.93925377,465.08164878,9.11808562,198.55301183,0.01974004,net_sales_share,True
Peak Fuel,PF-WHEY-VAN,Peak Fuel Whey Protein Vanilla 2lb,10815.53000000,4172.37800000,0.38577656,0.08172414,4133.28975287,500.09042450,9.80444470,-470.80662206,-0.04353061,net_sales_share,True
Peak Fuel,PF-PREWKT-BERRY,Peak Fuel Pre-Workout Mixed Berry 30srv,6334.02000000,2722.68400000,0.42985087,0.04786102,2420.62478311,292.87355780,5.74188679,3.44377230,0.00054369,net_sales_share,True
Peak Fuel,PF-BCAA-LEMON,Peak Fuel BCAA Lemon Lime 40srv,3076.07000000,1322.69600000,0.42999542,0.02324335,1175.55853574,142.23187880,2.78850488,2.11708058,0.00068824,net_sales_share,True
Peak Fuel,PF-VEGAN-CHOC,Peak Fuel Vegan Protein Chocolate 2lb,3403.13000000,957.92200000,0.28148264,0.02571468,1300.54859602,157.35453799,3.08498981,-503.06612383,-0.14782454,net_sales_share,True
Peak Fuel,PF-ELECTRO-CIT,Peak Fuel Electrolyte Powder Citrus 60srv,2559.61000000,929.77200000,0.36324753,0.01934088,978.18690201,118.35170828,2.32032593,-169.08693622,-0.06605965,net_sales_share,True
Peak Fuel,PF-SHAKER-28,Peak Fuel Shaker Bottle 28oz,2039.40000000,801.20000000,0.39286065,0.01541008,779.38215899,94.29814459,1.84874754,-74.32905112,-0.03644653,net_sales_share,True
