snapshot_date,sku,asin_x,fulfillable,reserved,unfulfillable,inbound,raw_sku,canonical_sku,brand,product_name,asin_y,status,brand_method,net_units,applied_unit_cost,cost_imputed,contribution_margin_pct,daily_net_units,fulfillable_days_cover,incl_inbound_days_cover,unfulfillable_rate,fulfillable_inventory_value,inbound_inventory_value,inventory_action
2026-06-30,PF-WHEY-CHOC,B0PF4W2CHC,205,34,1,0,PF-WHEY-CHOC,PF-WHEY-CHOC,Peak Fuel,Peak Fuel Whey Protein Chocolate 2lb,B0PF4W2CHC,Active,mapping,397.0,14.196,False,0.38016689166434,4.362637362637362,46.98992443324938,46.98992443324938,0.004166666666666667,2910.18,0.0,EXPEDITE / REORDER
2026-06-30,GT-SERUM-VITC,B0GTSRMVTC,299,58,4,0,GT-SERUM-VITC,GT-SERUM-VITC,GlowTheory,GlowTheory Vitamin C Serum 30ml,B0GTSRMVTC,Active,mapping,487.0,4.804,False,0.5480475438910968,5.351648351648351,55.870636550308014,55.870636550308014,0.0110803324099723,1436.3960000000002,0.0,EXPEDITE / REORDER
2026-06-30,PH-CHEW-BULLY-6,B0PHBLY6PK,428,5,4,300,PH-CHEW-BULLY-6,PH-CHEW-BULLY-6,PawHaus,PawHaus Bully Stick Chews 6in 8pk,B0PHBLY6PK,Active,mapping,293.0,11.402,False,0.2984691439553451,3.21978021978022,132.92832764505118,226.10238907849828,0.009153318077803204,4880.056,3420.6,MONITOR
2026-06-30,PF-SHAKER-28,B0PFSHK28Z,275,18,11,0,PF-SHAKER-28,PF-SHAKER-28,Peak Fuel,Peak Fuel Shaker Bottle 28oz,B0PFSHK28Z,Active,mapping,160.0,2.3040000000000003,False,0.39286064528782977,1.7582417582417582,156.40625,156.40625,0.03618421052631579,633.6,0.0,MONITOR
2026-06-30,GT-MOIST-50ML,B0GTMST50M,520,29,10,0,GT-MOIST-50ML,GT-MOIST-50ML,GlowTheory,GlowTheory Daily Moisturizer 50ml,B0GTMST50M,Active,mapping,242.0,5.196000000000001,False,0.44926705380879534,2.659340659340659,195.53719008264463,195.53719008264463,0.017889087656529516,2701.9200000000005,0.0,MONITOR
2026-06-30,GT-SERUM-HA,B0GTSRMHYA,814,50,8,300,GT-SERUM-HA,GT-SERUM-HA,GlowTheory,GlowTheory Hyaluronic Acid Serum 30ml,B0GTSRMHYA,Active,mapping,376.0,4.098,False,0.5284755448216086,4.131868131868132,197.00531914893614,269.61170212765956,0.009174311926605505,3335.772,1229.3999999999999,MONITOR
2026-06-30,PH-DENTAL-30CT,B0PHDNT30C,596,38,2,300,PH-DENTAL-30CT,PH-DENTAL-30CT,PawHaus,PawHaus Dental Chews 30ct,B0PHDNT30C,Active,mapping,260.0,7.299831649831649,False,0.3183997449658702,2.857142857142857,208.6,313.59999999999997,0.0031446540880503146,4350.6996632996625,2189.9494949494947,MONITOR
2026-06-30,PH-TREAT-SALMON,B0PHTRTSLM,922,48,10,0,PH-TREAT-SALMON,PH-TREAT-SALMON,PawHaus,PawHaus Salmon Training Treats 16oz,B0PHTRTSLM,Active,mapping,394.0,6.196,False,0.29910420054890946,4.329670329670329,212.94923857868022,212.94923857868022,0.01020408163265306,5712.7119999999995,0.0,MONITOR
2026-06-30,PF-CREATINE-300,B0PFCRE300,1134,39,12,1000,PF-CREATINE-300,PF-CREATINE-300,Peak Fuel,Peak Fuel Creatine Monohydrate 300g,B0PFCRE300,Active,mapping,411.0,5.598000000000001,False,0.44904721332141617,4.516483516483516,251.08029197080293,472.49148418491484,0.010126582278481013,6348.1320000000005,5598.000000000001,MONITOR
2026-06-30,PH-BRUSH-DBL,B0PHBRSHDB,433,27,11,500,PH-BRUSH-DBL,PH-BRUSH-DBL,PawHaus,PawHaus Double-Sided Grooming Brush,B0GTRLRJDE,Active,mapping,143.0,2.5980000000000003,False,0.352553227654803,1.5714285714285714,275.54545454545456,593.7272727272727,0.02335456475583864,1124.9340000000002,1299.0000000000002,MONITOR
