brand,canonical_sku,product_name,order_units,refund_units,order_sales,refund_sales,refund_cm_impact,net_contribution_margin,unit_refund_rate,revenue_refund_rate,refund_cm_pct_of_net
GlowTheory,GT-SERUM-HA,GlowTheory Hyaluronic Acid Serum 30ml,394,18,9846.059999999943,449.82000000000005,304.45599999999996,4853.382000000007,0.04568527918781726,0.04568527918781753,0.06273068965105148
GlowTheory,GT-MASK-CLAY,GlowTheory Detox Clay Mask 100g,159,17,2383.4099999999985,254.83,143.42399999999998,495.71399999999875,0.1069182389937107,0.10691823899371077,0.2893281206502143
GlowTheory,GT-SERUM-VITC,GlowTheory Vitamin C Serum 30ml,504,17,14610.959999999915,492.8300000000001,349.45199999999994,7521.262000000017,0.03373015873015873,0.03373015873015893,0.04646188365729038
GlowTheory,GT-SPF30-TINT,GlowTheory Tinted SPF 30 Sunscreen 50ml,227,14,5445.729999999977,335.86,198.84400000000002,2063.158000000004,0.06167400881057269,0.06167400881057295,0.09637846447048633
GlowTheory,GT-CLEANSE-150,GlowTheory Gentle Foaming Cleanser 150ml,179,11,3041.209999999991,186.89,121.52799999999999,1046.1939999999986,0.061452513966480445,0.061452513966480625,0.11616201201689186
GlowTheory,GT-MOIST-50ML,GlowTheory Daily Moisturizer 50ml,249,7,5724.509999999971,160.93,95.11799999999997,2419.9679999999985,0.028112449799196786,0.02811244979919693,0.03930547841954936
GlowTheory,GT-ROLLER-JADE,GlowTheory Jade Facial Roller,104,6,1454.9600000000007,83.94,57.684000000000005,522.2819999999996,0.057692307692307696,0.05769230769230766,0.11044608085287268
GlowTheory,GT-EYE-CREAM,GlowTheory Restorative Eye Cream 15ml,127,6,3427.7299999999923,161.94,102.412,1620.4120000000007,0.047244094488188976,0.04724409448818908,0.06320121055632763
GlowTheory,GT-LIP-BALM,GlowTheory Repair Lip Balm SPF 15,23,0,229.77,0,0,5.8469999999999995,0,0,0
PawHaus,PH-BRUSH-DBL,PawHaus Double-Sided Grooming Brush,154,11,2000.4600000000012,142.89,97.15199999999999,642.9759999999997,0.07142857142857142,0.07142857142857138,0.15109739710346892
PawHaus,PH-CHEW-BULLY-6,PawHaus Bully Stick Chews 6in 8pk,303,10,9086.969999999958,299.90000000000003,141.95999999999998,2567.154000000003,0.033003300330033,0.03300330033003316,0.05529859135836798
PawHaus,PH-BED-MED-GRY,PawHaus Orthopedic Dog Bed Medium Grey,122,8,5244.779999999986,343.92,137.502,291.43600000000094,0.06557377049180328,0.06557377049180345,0.4718085617425423
PawHaus,PH-TOY-ROPE-L,PawHaus Braided Rope Toy Large,216,8,3021.8399999999906,111.92,42.03667340067341,176.55350841750865,0.037037037037037035,0.03703703703703715,0.23809593917140573
PawHaus,PH-TREAT-SALMON,PawHaus Salmon Training Treats 16oz,399,5,7577.00999999995,94.94999999999999,49.22999999999999,2171.996000000004,0.012531328320802004,0.012531328320802086,0.022665787598135492
PawHaus,PH-DENTAL-30CT,PawHaus Dental Chews 30ct,263,3,5783.369999999973,65.97,34.21050505050505,1783.9937710437703,0.011406844106463879,0.011406844106463932,0.01917635902421864
PawHaus,PH-SHAMPOO-OAT,PawHaus Oatmeal Dog Shampoo 16oz,188,0,3006.1199999999926,0,0,1033.2480000000012,0,0,0
Peak Fuel,PF-WHEY-CHOC,Peak Fuel Whey Protein Chocolate 2lb,411,14,18490.889999999985,629.86,327.79600000000005,6603.708000000022,0.0340632603406326,0.03406326034063263,0.049638172977969186
Peak Fuel,PF-CREATINE-300,Peak Fuel Creatine Monohydrate 300g,425,14,10620.749999999935,349.86,229.48799999999994,4516.692000000012,0.03294117647058824,0.03294117647058844,0.0508088663118936
Peak Fuel,PF-PREWKT-BERRY,Peak Fuel Pre-Workout Mixed Berry 30srv,205,7,6762.949999999973,230.93000000000004,135.096,2722.6840000000016,0.03414634146341464,0.034146341463414775,0.049618685091622795
Peak Fuel,PF-VEGAN-CHOC,Peak Fuel Vegan Protein Chocolate 2lb,91,4,3639.0899999999956,159.96,70.504,957.9220000000008,0.04395604395604396,0.04395604395604401,0.07360098212589328
Peak Fuel,PF-BCAA-LEMON,Peak Fuel BCAA Lemon Lime 40srv,116,3,3246.839999999994,83.97,52.596000000000004,1322.6959999999985,0.02586206896551724,0.02586206896551729,0.03976423909953614
Peak Fuel,PF-ELECTRO-CIT,Peak Fuel Electrolyte Powder Citrus 60srv,122,3,2682.779999999997,65.97,38.843999999999994,929.7719999999995,0.02459016393442623,0.024590163934426257,0.041777984280017055
Peak Fuel,PF-SHAKER-28,Peak Fuel Shaker Bottle 28oz,163,3,2117.37,38.97,26.238,801.1999999999985,0.018404907975460124,0.018404907975460124,0.03274837743384929
Peak Fuel,PF-WHEY-VAN,Peak Fuel Whey Protein Vanilla 2lb,248,1,11157.519999999962,44.99,25.394000000000002,4172.377999999993,0.004032258064516129,0.004032258064516143,0.006086217499948481
